symbol,series,target_timestamp,minutes_to_target,current_price,realized,mean,std,pit,crps,brier,taker_price,taker_fee,taker_ev,maker_yes_ev,maker_no_ev,contracts
I:NDX,NASDAQ100,2024-11-01T20:00:00+00:00,0,20033.14177682076,20033.14177682076,20033.14177682076,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-04T21:00:00+00:00,0,19963.60243440603,19963.60243440603,19963.60243440603,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-05T21:00:00+00:00,0,20227.4564027995,20227.4564027995,20227.4564027995,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-06T21:00:00+00:00,0,20781.3339968048,20781.3339968048,20781.3339968048,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-07T21:00:00+00:00,0,21101.56637805141,21101.56637805141,21101.56637805141,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-08T21:00:00+00:00,0,21117.1790900579,21117.1790900579,21117.1790900579,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-12T21:00:00+00:00,0,21070.79263387019,21070.79263387019,21070.79263387019,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-13T21:00:00+00:00,0,21036.16364503362,21036.16364503362,21036.16364503362,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-14T21:00:00+00:00,0,20896.67319871474,20896.67319871474,20896.67319871474,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-15T21:00:00+00:00,0,20394.13326948533,20394.13326948533,20394.13326948533,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-18T21:00:00+00:00,0,20539.19157340101,20539.19157340101,20539.19157340101,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-19T21:00:00+00:00,0,20684.5934675527,20684.5934675527,20684.5934675527,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-20T21:00:00+00:00,0,20667.10423805289,20667.10423805289,20667.10423805289,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-21T21:00:00+00:00,0,20740.78072807625,20740.78072807625,20740.78072807625,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-22T21:00:00+00:00,0,20776.22955344169,20776.22955344169,20776.22955344169,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-25T21:00:00+00:00,0,20804.89264895686,20804.89264895686,20804.89264895686,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-26T21:00:00+00:00,0,20922.89801836044,20922.89801836044,20922.89801836044,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-11-27T21:00:00+00:00,0,20744.48802776409,20744.48802776409,20744.48802776409,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-12-02T21:00:00+00:00,0,21164.59571368985,21164.59571368985,21164.59571368985,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
I:NDX,NASDAQ100,2024-12-03T21:00:00+00:00,0,21229.31692919228,21229.31692919228,21229.31692919228,25.233316790185366,0.5,5.8968993933533325,0.25,0.5,0.88,49.12,-50.0,50.0,100
