series,market,strike,side,event,q_yes,model_probability,market_probability,ev_after_fees,ev_per_contract,contracts,alpha,slippage,delta_bps
INXU,KXINXU-25NOV03H1300-T5000,5000.000000,YES,KXINXU-25NOV03H1300-T5000,0.380000,0.999934,0.380000,0.619934,0.619934,1,0.610581,0.000378,3781.413305
INXU,KXINXU-25NOV03H1200-T5000,5000.000000,YES,KXINXU-25NOV03H1200-T5000,0.420000,0.999934,0.420000,0.579934,0.579934,1,0.603272,0.000379,3494.787530
