series,event,market,bin,side,price,model_p,market_p,delta_p,size,expected_contracts,expected_fills,fill_ratio,fill_ratio_observed,alpha_target,visible_depth,side_depth_total,depth_fraction,best_bid,best_ask,spread,seconds_to_event,minutes_to_event,t_fill_ms,size_partial,slippage_ticks,ev_expected_bps,ev_realized_bps,fees_bps,slippage_mode,impact_cap,fees_maker,ev_after_fees,pnl_simulated,timestamp_et,manifest_path,ledger_schema_version
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5000.0,YES,0.48,0.6886901472186339,0.48,0.20869014721863388,1,1,1,1.0,0.5931406313113513,0.5931406313113513,6.0,11.0,0.5454545454545454,0.62,0.48,0.0,-66327.910831,-1105.4651805166666,0.0,0,0.07217633098314802,1986.9014721863387,4326.169518037069,0.0,curve,0.0007217633098314931,0.0,0.21,0.21,2025-11-04T10:25:27.918290-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/152527/INX/manifest.json,2
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5100.0,NO,0.62,0.021564081815635072,0.35,-0.3284359181843649,1,1,1,1.0,0.6052220490540527,0.6052220490540527,5.0,9.0,0.5555555555555556,0.62,0.48,0.0,-66327.910831,-1105.4651805166666,0.0,0,0.0721160848263569,3184.359181843649,9651.787200654673,0.0,curve,0.0007211608482635581,0.0,0.6,0.6,2025-11-04T10:25:27.918290-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/152527/INX/manifest.json,2
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5200.0,NO,0.62,0.0,0.15,-0.15,1,1,1,1.0,0.6036022120251909,0.6036022120251909,5.0,9.0,0.5555555555555556,0.62,0.48,0.0,-66327.910831,-1105.4651805166666,0.0,0,0.0721160848263569,1400.0000000000002,10000.0,0.0,curve,0.0007211608482635581,0.0,0.62,0.62,2025-11-04T10:25:27.918290-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/152527/INX/manifest.json,2
