series,event,market,bin,side,price,model_p,market_p,delta_p,size,expected_contracts,expected_fills,fill_ratio,fill_ratio_observed,alpha_target,visible_depth,side_depth_total,depth_fraction,best_bid,best_ask,spread,seconds_to_event,minutes_to_event,t_fill_ms,size_partial,slippage_ticks,ev_expected_bps,ev_realized_bps,fees_bps,slippage_mode,impact_cap,fees_maker,ev_after_fees,pnl_simulated,timestamp_et,manifest_path,ledger_schema_version
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5000.0,YES,0.48,0.7075110901406276,0.48,0.22751109014062765,1,1,1,1.0,0.5933656303257486,0.5933656303257486,6.0,11.0,0.5454545454545454,0.62,0.48,0.0,-86482.779389,-1441.3796564833333,0.0,0,0.07638930291882229,2275.1109014062763,4716.394063679676,0.0,curve,0.0007638930291882401,0.0,0.23,0.23,2025-11-04T16:01:22.785343-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/210122/INX/manifest.json,2
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5100.0,NO,0.62,0.027566154595538794,0.35,-0.3224338454044612,1,1,1,1.0,0.6052217053212549,0.6052217053212549,5.0,9.0,0.5555555555555556,0.62,0.48,0.0,-86482.779389,-1441.3796564833333,0.0,0,0.07632905676202562,3224.338454044612,9554.836556430784,0.0,curve,0.0007632905676203052,0.0,0.59,0.59,2025-11-04T16:01:22.785343-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/210122/INX/manifest.json,2
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5200.0,NO,0.62,0.0,0.15,-0.15,1,1,1,1.0,0.6036563549665881,0.6036563549665881,5.0,9.0,0.5555555555555556,0.62,0.48,0.0,-86482.779389,-1441.3796564833333,0.0,0,0.07632905676202562,1500.0000000000002,10000.0,0.0,curve,0.0007632905676203052,0.0,0.62,0.62,2025-11-04T16:01:22.785343-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/210122/INX/manifest.json,2
