series,event,market,bin,side,price,model_p,market_p,delta_p,size,expected_contracts,expected_fills,fill_ratio,fill_ratio_observed,alpha_target,visible_depth,side_depth_total,depth_fraction,best_bid,best_ask,spread,seconds_to_event,minutes_to_event,t_fill_ms,size_partial,slippage_ticks,ev_expected_bps,ev_realized_bps,fees_bps,slippage_mode,impact_cap,fees_maker,ev_after_fees,pnl_simulated,timestamp_et,manifest_path,ledger_schema_version
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5000.0,YES,0.48,0.9300352581881475,0.48,0.4500352581881475,1,1,1,1.0,0.5953653880799012,0.5953653880799012,6.0,11.0,0.5454545454545454,0.62,0.48,0.0,-78317.994156,-1305.2999026,0.0,0,0.07480883483934608,4500.352581881475,9345.584116273387,0.0,curve,0.0007480883483934363,0.0,0.45,0.45,2025-11-04T13:45:18.000281-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/184517/INX/manifest.json,2
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5100.0,NO,0.62,1.5689368870974718e-05,0.35,-0.349984310631129,1,1,1,1.0,0.6054514964302549,0.6054514964302549,5.0,9.0,0.5555555555555556,0.62,0.48,0.0,-78317.994156,-1305.2999026,0.0,0,0.07474858868254941,3499.84310631129,9999.74664020713,0.0,curve,0.0007474858868255014,0.0,0.62,0.62,2025-11-04T13:45:18.000281-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/184517/INX/manifest.json,2
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5200.0,NO,0.62,0.0,0.15,-0.15,1,1,1,1.0,0.6036360436063621,0.6036360436063621,5.0,9.0,0.5555555555555556,0.62,0.48,0.0,-78317.994156,-1305.2999026,0.0,0,0.07474858868254941,1500.0000000000002,10000.0,0.0,curve,0.0007474858868255014,0.0,0.62,0.62,2025-11-04T13:45:18.000281-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/184517/INX/manifest.json,2
