series,event,market,bin,side,price,model_p,market_p,delta_p,size,expected_contracts,expected_fills,fill_ratio,fill_ratio_observed,alpha_target,visible_depth,side_depth_total,depth_fraction,best_bid,best_ask,spread,seconds_to_event,minutes_to_event,t_fill_ms,size_partial,slippage_ticks,ev_expected_bps,ev_realized_bps,fees_bps,slippage_mode,impact_cap,fees_maker,ev_after_fees,pnl_simulated,timestamp_et,manifest_path,ledger_schema_version
NASDAQ100,KXNASDAQ100-25NOV03H1600,KXNASDAQ100-25NOV03H1600-B15000,15000.0,YES,0.45,0.8753564882677077,0.45,0.4253564882677077,1,1,1,1.0,0.5999999999999995,0.5999999999999995,6.0,10.0,0.6,0.6,0.45,0.0,-78323.901384,-1305.3983564,0.0,0,0.07206615376467718,4253.564882677078,9421.263832933759,0.0,curve,0.0007206615376467979,0.0,0.42,0.42,2025-11-04T13:45:23.912491-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/184523/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV03H1600,KXNASDAQ100-25NOV03H1600-B15000,15150.0,NO,0.6,0.2329805264376099,0.33,-0.0970194735623901,1,1,1,1.0,0.5999999999999995,0.5999999999999995,6.0,10.0,0.6,0.6,0.45,0.0,-78323.901384,-1305.3983564,0.0,0,0.07206615376468273,970.1947356239016,6112.321725701448,0.0,curve,0.0007206615376467979,0.0,0.37,0.37,2025-11-04T13:45:23.912491-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/184523/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV03H1600,KXNASDAQ100-25NOV03H1600-B15000,15300.0,NO,0.6,0.0,0.14,-0.14,1,1,1,1.0,0.5999999999999995,0.5999999999999995,6.0,10.0,0.6,0.6,0.45,0.0,-78323.901384,-1305.3983564,0.0,0,0.07206615376468273,1400.0000000000002,10000.0,0.0,curve,0.0007206615376467979,0.0,0.6,0.6,2025-11-04T13:45:23.912491-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/184523/NASDAQ100/manifest.json,2
