series,event,market,bin,side,price,model_p,market_p,delta_p,size,expected_contracts,expected_fills,fill_ratio,fill_ratio_observed,alpha_target,visible_depth,side_depth_total,depth_fraction,best_bid,best_ask,spread,seconds_to_event,minutes_to_event,t_fill_ms,size_partial,slippage_ticks,ev_expected_bps,ev_realized_bps,fees_bps,slippage_mode,impact_cap,fees_maker,ev_after_fees,pnl_simulated,timestamp_et,manifest_path,ledger_schema_version
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5000.0,YES,0.48,0.7042051614508582,0.48,0.22420516145085823,1,1,1,1.0,0.5931294316202435,0.5931294316202435,6.0,11.0,0.5454545454545454,0.62,0.48,0.0,-30737.791374,-512.2965229,0.0,0,0.06034543098544787,2142.0516145085817,4652.519767301616,0.0,curve,0.0006034543098544514,0.0,0.22,0.22,2025-11-04T00:32:17.798842-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/053217/INX/manifest.json,2
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5100.0,NO,0.62,0.03260007503068563,0.35,-0.31739992496931435,1,1,1,1.0,0.604969819947711,0.604969819947711,5.0,9.0,0.5555555555555556,0.62,0.48,0.0,-30737.791374,-512.2965229,0.0,0,0.060285184828656746,3073.9992496931436,9473.680575896022,0.0,curve,0.0006028518482865164,0.0,0.59,0.59,2025-11-04T00:32:17.798842-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/053217/INX/manifest.json,2
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5200.0,NO,0.62,0.0,0.15,-0.15,1,1,1,1.0,0.6034501674032395,0.6034501674032395,5.0,9.0,0.5555555555555556,0.62,0.48,0.0,-30737.791374,-512.2965229,0.0,0,0.060285184828656746,1400.0000000000002,10000.0,0.0,curve,0.0006028518482865164,0.0,0.62,0.62,2025-11-04T00:32:17.798842-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/053217/INX/manifest.json,2
