series,event,market,bin,side,price,model_p,market_p,delta_p,size,expected_contracts,expected_fills,fill_ratio,t_fill_ms,size_partial,slippage_ticks,ev_expected_bps,ev_realized_bps,fees_bps,slippage_mode,impact_cap,fees_maker,ev_after_fees,pnl_simulated,timestamp_et,manifest_path,ledger_schema_version
CPI,CPI-2025-10,CPI-2025-10-MOM,0.18,YES,0.39,0.6636682936456773,0.366,0.29766829364567726,1,0,0,0.0,0.0,1,0.0,4436.682936456773,0.0,0.0,top,0.02,0.0,0.0,0.0,2025-11-02T18:14:05.015682-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-02/231405/CPI/manifest.json,2
CPI,CPI-2025-10,CPI-2025-10-MOM,0.47,NO,0.37,3.700743415417188e-17,0.366,-0.36599999999999994,1,0,0,0.0,0.0,1,0.0,5000.0,0.0,0.0,top,0.02,0.0,0.0,0.0,2025-11-02T18:14:05.015682-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-02/231405/CPI/manifest.json,2
