series,event,market,bin,side,price,model_p,market_p,delta_p,size,expected_contracts,expected_fills,fill_ratio,fill_ratio_observed,alpha_target,visible_depth,side_depth_total,depth_fraction,best_bid,best_ask,spread,seconds_to_event,minutes_to_event,t_fill_ms,size_partial,slippage_ticks,ev_expected_bps,ev_realized_bps,fees_bps,slippage_mode,impact_cap,fees_maker,ev_after_fees,pnl_simulated,timestamp_et,manifest_path,ledger_schema_version
NASDAQ100,KXNASDAQ100-25NOV10H1600,KXNASDAQ100-25NOV10H1600,23700.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-78491.185071,-1308.18641785,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:48:11.344553-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184811/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV10H1600,KXNASDAQ100-25NOV10H1600,23800.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-78491.185071,-1308.18641785,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:48:11.344553-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184811/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV07H1600,KXNASDAQ100-25NOV07H1600,24300.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-337691.185071,-5628.18641785,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:48:11.344553-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184811/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV07H1600,KXNASDAQ100-25NOV07H1600,24400.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-337691.185071,-5628.18641785,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:48:11.344553-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184811/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV06H1600,KXNASDAQ100-25NOV06H1600,24000.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-424091.185071,-7068.18641785,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:48:11.344553-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184811/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV06H1600,KXNASDAQ100-25NOV06H1600,24100.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-424091.185071,-7068.18641785,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:48:11.344553-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184811/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV05H1600,KXNASDAQ100-25NOV05H1600,24500.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-510491.185071,-8508.18641785,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:48:11.344553-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184811/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV05H1600,KXNASDAQ100-25NOV05H1600,24600.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-510491.185071,-8508.18641785,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:48:11.344553-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184811/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV04H1600,KXNASDAQ100-25NOV04H1600,24500.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-596891.185071,-9948.18641785,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:48:11.344553-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184811/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV04H1600,KXNASDAQ100-25NOV04H1600,24600.0,NO,0.5,0.0,0.5,-0.5,1,0,0,0.0,0.02,0.02,0.0,0.0,0.0,,,0.0,-596891.185071,-9948.18641785,0.0,1,0.0,5000.0,0.0,0.0,top,0.0,0.0,0.0,0.0,2025-11-11T13:48:11.344553-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-11/184811/NASDAQ100/manifest.json,2
