series,event,market,bin,side,price,model_p,market_p,delta_p,size,expected_contracts,expected_fills,fill_ratio,t_fill_ms,size_partial,slippage_ticks,ev_expected_bps,ev_realized_bps,fees_bps,slippage_mode,impact_cap,fees_maker,ev_after_fees,pnl_simulated,timestamp_et,manifest_path,ledger_schema_version
NASDAQ100,KXNASDAQ100-25NOV03H1600,KXNASDAQ100-25NOV03H1600-B15000,15000.0,YES,0.45,0.9993064525643902,0.45,0.5493064525643903,1,0,0,0.0,0.0,1,0.0,5393.064525643903,0.0,0.0,top,0.02,0.0,0.0,0.0,2025-11-03T19:52:15.165655-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/005215/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV03H1600,KXNASDAQ100-25NOV03H1600-B15000,15150.0,NO,0.6,0.002573731875966434,0.33,-0.3274262681240336,1,0,0,0.0,0.0,1,0.0,3174.2626812403364,0.0,0.0,top,0.02,0.0,0.0,0.0,2025-11-03T19:52:15.165655-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/005215/NASDAQ100/manifest.json,2
NASDAQ100,KXNASDAQ100-25NOV03H1600,KXNASDAQ100-25NOV03H1600-B15000,15300.0,NO,0.6,0.0,0.14,-0.14,1,0,0,0.0,0.0,1,0.0,1300.0,0.0,0.0,top,0.02,0.0,0.0,0.0,2025-11-03T19:52:15.165655-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/005215/NASDAQ100/manifest.json,2
