series,event,market,bin,side,price,model_p,market_p,delta_p,size,expected_contracts,expected_fills,fill_ratio,fill_ratio_observed,alpha_target,visible_depth,side_depth_total,depth_fraction,best_bid,best_ask,spread,seconds_to_event,minutes_to_event,t_fill_ms,size_partial,slippage_ticks,ev_expected_bps,ev_realized_bps,fees_bps,slippage_mode,impact_cap,fees_maker,ev_after_fees,pnl_simulated,timestamp_et,manifest_path,ledger_schema_version
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5000.0,YES,0.48,0.9999956060181656,0.48,0.5199956060181656,10,6,6,0.5956999436271199,0.5956999436271199,0.5956999436271199,6.0,11.0,0.5454545454545454,0.62,0.48,0.0,-16482.947298,-274.7157883,0.0,4,0.05142298854056704,5099.9560601816565,6424.134947122648,62.43311463877872,curve,0.0005142298854056663,0.03,3.09,3.09,2025-11-03T20:34:42.954781-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/013442/INX/manifest.json,2
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5100.0,NO,0.62,0.0,0.35,-0.35,10,6,6,0.6051510960285855,0.6051510960285855,0.6051510960285855,5.0,9.0,0.5555555555555556,0.62,0.48,0.0,-16482.947298,-274.7157883,0.0,4,0.05136274238377592,3399.9999999999995,5951.572784603407,48.42721539659321,curve,0.0005136274238377313,0.03,3.69,3.69,2025-11-03T20:34:42.954781-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/013442/INX/manifest.json,2
INX,KXINX-25NOV03H1600,KXINX-25NOV03H1600-B5000,5200.0,NO,0.62,0.0,0.15,-0.15,10,6,6,0.6033355007769746,0.6033355007769746,0.6033355007769746,5.0,9.0,0.5555555555555556,0.62,0.48,0.0,-16482.947298,-274.7157883,0.0,4,0.05136274238377592,1400.0000000000002,5951.572784603407,48.42721539659321,curve,0.0005136274238377313,0.03,3.69,3.69,2025-11-03T20:34:42.954781-05:00,/Users/mateobodon/Documents/Programming/Projects/kalshi-sys/data/raw/kalshi/2025-11-04/013442/INX/manifest.json,2
