series,market,strike,side,event,q_yes,model_probability,market_probability,ev_after_fees,ev_per_contract,contracts,alpha,slippage,delta_bps
NASDAQ100U,KXNASDAQ100U-25NOV03H1300-T15000,15000.000000,YES,KXNASDAQ100U-25NOV03H1300-T15000,0.390000,0.999297,0.390000,0.609297,0.609297,1,0.604676,0.000420,3680.067891
NASDAQ100U,KXNASDAQ100U-25NOV03H1200-T15000,15000.000000,YES,KXNASDAQ100U-25NOV03H1200-T15000,0.440000,0.999297,0.440000,0.559297,0.559297,1,0.606671,0.000421,3388.880438
